,name,votes,types,generation,family,sprite_source,generation_color,ranking_overall,ranking_generation
734,Yungoos,0.0,Normal,7,Yungoos,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/734.png,#E89483,809,88.0
266,Silcoon,0.0,Bug,3,Wurmple,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/266.png,#9CD7C8,808,135.0
603,Eelektrik,0.0,Electric,5,Tynamo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/603.png,#9FCADF,807,155.0
574,Gothita,0.0,Psychic,5,Gothita,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/574.png,#9FCADF,806,156.0
343,Baltoy,1.0,Ground Psychic,3,Baltoy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/343.png,#9CD7C8,805,134.0
594,Alomomola,1.0,Water,5,Alomomola,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/594.png,#9FCADF,804,152.0
102,Exeggcute,1.0,Grass Psychic,1,Exeggcute,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,#ACD36C,803,151.0
504,Patrat,1.0,Normal,5,Patrat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/504.png,#9FCADF,802,153.0
790,Cosmoem,1.0,Psychic,7,Cosmog,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/790.png,#E89483,801,86.0
732,Trumbeak,1.0,Normal Flying,7,Pikipek,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/732.png,#E89483,800,87.0
451,Skorupi,1.0,Poison Bug,4,Skorupi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/451.png,#B7A3C3,799,107.0
540,Sewaddle,1.0,Bug Grass,5,Sewaddle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/540.png,#9FCADF,798,154.0
489,Phione,2.0,Water,4,Phione,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/489.png,#B7A3C3,797,106.0
788,Tapu-Fini,2.0,Water Fairy,7,Tapu-Fini,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/788.png,#E89483,796,81.0
688,Binacle,2.0,Rock Water,6,Binacle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/688.png,#DD608C,795,69.0
787,Tapu-Bulu,2.0,Grass Fairy,7,Tapu-Bulu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/787.png,#E89483,794,82.0
723,Dartrix,2.0,Grass Flying,7,Rowlet,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/723.png,#E89483,793,83.0
513,Pansear,2.0,Fire,5,Pansear,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/513.png,#9FCADF,792,142.0
645,Landorus,2.0,Ground Flying,5,Landorus,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/645.png,#9FCADF,791,143.0
664,Scatterbug,2.0,Bug,6,Scatterbug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/664.png,#DD608C,790,70.0
659,Bunnelby,2.0,Normal,6,Bunnelby,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/659.png,#DD608C,789,71.0
641,Tornadus,2.0,Flying,5,Tornadus,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/641.png,#9FCADF,788,144.0
543,Venipede,2.0,Bug Poison,5,Venipede,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/543.png,#9FCADF,787,145.0
